0,003a04f8c2054b7,-1
1,00sleepy,-1
2,06_tempus_fugit,wef
3,08metropol,bearlytech
4,09zouzou,entilocalifi
5,0_morechance,craigbrownphd
6,0a46768639bf453,-1
7,0almfoofoo5840,kenneth_sc
8,0mgould,h_u_i_r
9,100_dias_largos,bigdatatweetbot
10,100rescities,sureshkito
11,12866buzz,ktn_creative
12,12r91e0079,evanderburg
13,13alew,-1
14,148apps,-1
15,151advisors,151advisors
16,1776,thinkbigkc
17,198f89da414a49c,skull_baba
18,19angelo67,msftcitynext
19,1_freeman1,1_freeman1
20,1a_ingenieros,ieeesmartcities
21,1awesomepossom,-1
22,1bernierevolt6,ireneberns
23,1fezilardisc,oceaanfietser
24,1girl2cities,-1
25,1inagazzillion,dhcmumbai
26,1ksuperhero,msftcitynext
27,1kt_boo_boo_boo,dhcmumbai
28,1lawphilnow,bigdatatweetbot
29,1paulrichardson,exagolo
30,1spatialfr,-1
31,1stinseo,bearlytech
32,21cdata,thinkbigkc
33,21stwebservices,fndraising
34,22network,gazzema
35,233liveonline,-1
36,2601manish,wef
37,260west52,attbusiness
38,27_chopin,bearlytech
39,2bentrepreneurs,bearlytech
40,2c4dc61b64e5428,wef
41,2damnvane,michelevianello
42,2inspiresmile,bearlytech
43,2women4wheels,-1
44,2xbirds,-1
45,3101gp,byadavbjp
46,350action,sureshkito
47,35mmpue,scepuebla
48,360sxsw,msftcitynext
49,365alerts,narendramodi
50,375jscelea,oceaanfietser
51,3blmedia,attbusiness
52,3citymerge,thinkbigkc
53,3cscambios,-1
54,3dsaec,assystem
55,3dsfrance,assystem
56,3eaglesbeer,-1
57,3itcom,bearlytech
58,3jnsn,webdpw
59,3ol,michelevianello
60,3rderh,-1
61,3scale,beyond_curious
62,41jellis,151advisors
63,44mrinal,fakingnews
64,4dgjmaw,craigbrownphd
65,4dhresearch,gazzema
66,4maraeg,craigbrownphd
67,4publicimpact,_adrianbrown
68,4smiht,intel_la
69,4yfn_mwc,thinkbigkc
70,59100_loulou,bearlytech
71,59_moss,reichental
72,5c16aa8806e94d1,bigdatatweetbot
73,5goreti7,bearlytech
74,5starsantosh,intelindia
75,7,-1
76,72hourbeijing,michelevianello
77,72hourshanghai,michelevianello
78,73wudinit,oceaanfietser
79,75lolitaxx,bearlytech
80,7612_liiv,ktn_creative
81,7amiel,-1
82,7oorhoria,qabritish
83,7wdata,bearlytech
84,8200gleisdorf,marsadvice
85,828vcspe,oceaanfietser
86,82ndstreet_cor,-1
87,85gmenasruffin,oceaanfietser
88,86ee28,craigbrownphd
89,892gerclora,oceaanfietser
90,89754612a,bigdatatweetbot
91,897tmseli,oceaanfietser
92,8somvreeken,oceaanfietser
93,90syuichi,avaya
94,91springboard,mventuresin
95,927bigfmchd,927bigfmchd
96,93romainville,gazzema
97,99acresindia,smartcityexpo
98,9a_zka,-1
99,9newsaus,sureshkito
100,9newssyd,sureshkito
101,_100101890,_100101890
102,_1llshep,craigbrownphd
103,_3ckv,kenneth_sc
104,_3d3r_,intel_la
105,__kisi__,bigdatatweetbot
106,__pablo_garcia_,intel_la
107,__paulwilson,-1
108,__rink,msftcitynext
109,_adrianbrown,_adrianbrown
110,_alexgrosu_,-1
111,_alk_,-1
112,_arnaudr,slatefr
113,_astee,-1
114,_audrey86,bearlytech
115,_beautyykills,intel
116,_beconect,makepeaceglobal
117,_belle_curve_,ireneberns
118,_chris_moore,reichental
119,_claire_ingram,digicatapult
120,_davangere,glanceclock
121,_eduardocortes,michelevianello
122,_emint_,nadiaazlan
123,_erwin,oceaanfietser
124,_feedspot,-1
125,_felipemtnez,intel_la
126,_frmartin,bearlytech
127,_funkyfish,olaleyedada
128,_iammikaelaxoxo,thebigdome
129,_ipcomunicacion,-1
130,_iyapa,narendramodi
131,_jazzylove20,kenneth_sc
132,_jessharper,-1
133,_jiggajade,_jiggajade
134,_karlaao,intel_la
135,_keramel,-1
136,_kimidoll,bearlytech
137,_kp_h,sureshkito
138,_kravi,exagolo
139,_kymani_,kodacrook
140,_lajolla_homes,-1
141,_lastromanking,footyaccums
142,_lemurian_11,narendramodi
143,_m14s,amitenterprise
144,_manish_sharma_,narendramodi
145,_marmore,ktn_creative
146,_martincorrea,chaireanmt
147,_martinreyes,intel
148,_media_planner_,bearlytech
149,_mfuenmayor,-1
150,_miltonkeynes,h_u_i_r
151,_mpsinha,msftcitynext
152,_natejones,jmsndrsn
153,_peopleplanet,gazzema
154,_queenarthur_,sapindustries
155,_resourcex,reichental
156,_rsstern,hdscorp
157,_sdela_,iambientecities
158,_shainefisher,digicatapult
159,_socialmedia365,bearlytech
160,_stefano_23,msftcitynext
161,_subhashchandra,_subhashchandra
162,_susannefischer,villeruoko
163,_tauceti,akwyz
164,_tomalak,evgenymorozov
165,_tweetu_,-1
166,_wemeantoclean,narendramodi
167,_willpowered_,oceaanfietser
168,_wwnb_,oceaanfietser
169,a11igot,ireneberns
170,a1shtaoru,intel
171,a2ztrading,shypk
172,a333315,-1
173,a_ballatore,gazzema
174,a_jsanchez,dcchamber
175,a_l_vidal,-1
176,a_lamothe,a_lamothe
177,a_mangiavillano,bearlytech
178,a_r_j_u_n,narendramodi
179,a_richardin,bearlytech
180,a_sbai,akwyz
181,a_sodeste,iambientecities
182,a_wintersteinec,sureshkito
183,aa0592c6912c42d,intel
184,aa0_0101,c40cities
185,aa783387,gazzema
186,aaas,sureshkito
187,aabella,-1
188,aac_systems_ltd,sureshkito
189,aadilgalab,-1
190,aaditya055,iasura_
191,aaf_raj,skull_baba
192,aagangel,wef
